NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG
JULIAN PHILLIPS,2024,21.4,79,Chi,F,14.2,4.6,2.1,0.5,0.5,0.3,0.3,9.969999999999999
JULIAN STRAWTHER,2023,22.0,50,Den,G,10.9,4.5,1.2,0.9,0.3,0.1,0.5,7.99
JULIAN STRAWTHER,2024,23.0,65,Den,G,21.3,9.0,2.2,1.3,0.6,0.2,0.9,15.09
JULIUS RANDLE,2020,26.46,71,Nyk,F-C,37.6,24.1,10.2,6.0,0.9,0.25,3.38,45.410000000000004
JULIUS RANDLE,2021,27.37,72,Nyk,F-C,35.3,20.1,10.0,5.1,0.74,0.54,3.4,40.19
JULIUS RANDLE,2022,28.399999999999995,77,Nyk,F-C,35.5,25.1,10.0,4.1,0.6,0.3,2.8,44.65
JULIUS RANDLE,2023,29.4,46,Nyk,F,35.4,24.0,9.2,5.0,0.5,0.3,3.5,41.44
JULIUS RANDLE,2024,30.4,69,Min,F-C,32.3,18.7,7.1,4.7,0.7,0.2,2.8,34.17
JUSTIN ANDERSON,2021,28.39,16,Ind,F-G,19.724999999999998,6.331249999999999,2.8937500000000003,2.08125,0.500625,0.37375,0.499375,15.049374999999998
JUSTIN CHAMPAGNIE,2021,20.78,36,Tor,G-F,7.800000000000001,2.3,2.0,0.3,0.22,0.11,0.22,5.92
JUSTIN CHAMPAGNIE,2022,21.8,5,Tor,G-F,6.840000000000001,2.2,1.58,0.78,0.2,0.0,0.0,5.746
JUSTIN CHAMPAGNIE,2023,22.8,15,Was,G-F,15.7,5.9,3.5,1.3,0.7,0.6,0.7,15.25
JUSTIN CHAMPAGNIE,2024,23.8,62,Was,G-F,21.6,8.8,5.7,1.0,1.0,0.6,0.9,21.040000000000003
JUSTIN EDWARDS,2024,21.3,44,Phi,F,26.3,10.1,3.4,1.6,1.0,0.4,1.1,19.679999999999996
JUSTIN HOLIDAY,2020,32.12,72,Ind,F-G,30.299999999999997,10.5,3.5999999999999996,1.7,1.03,0.57,0.75,21.42
JUSTIN HOLIDAY,2021,33.02,74,Ind,F-G,27.785135135135135,10.087837837837839,2.597297297297297,1.6986486486486487,0.7671621621621622,0.4477027027027026,0.9459459459459459,18.451216216216217
JUSTIN HOLIDAY,2022,34.0,46,Atl,F-G,15.365217391304347,4.460869565217391,1.191304347826087,0.9,0.43478260869565216,0.43913043478260877,0.4782608695652174,8.966521739130435
JUSTIN HOLIDAY,2023,35.0,58,Den,F-G,14.9,4.0,1.2,1.2,0.6,0.2,0.2,9.44
JUSTIN JACKSON,2020,26.14,34,Okc,F,16.973529411764705,7.252941176470588,2.311764705882353,1.4852941176470589,0.43676470588235294,0.05823529411764706,0.9417647058823528,12.798235294117646
JUSTIN JACKSON,2021,27.04,7,Pho,F,5.257142857142857,2.1714285714285717,1.0285714285714285,0.2571428571428571,0.0,0.0,0.1457142857142857,3.6457142857142855
JUSTIN JACKSON,2022,28.0,23,Bos,F,4.7,0.9,0.7,0.4,0.2,0.2,0.1,3.14
