NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG,FPpG_next,GP_next,FP_total,FP_total_next
ANDREW NEMBHARD,2023,24.2,68,Ind,G-F,25.0,9.2,2.1,4.1,0.9,0.1,1.5,19.369999999999997,23.960000000000004,65.0,1317.1599999999999,1557.4000000000003
ANDREW WIGGINS,2020,26.23,71,Gol,F,33.3,18.6,4.9,2.4,0.93,0.9900000000000001,1.76,32.08,29.51,73.0,2277.68,2154.23
ANDREW WIGGINS,2021,27.13,73,Gol,F,31.9,17.2,4.4,2.2,1.05,0.7,1.52,29.51,30.349999999999994,37.0,2154.23,1122.9499999999998
ANDREW WIGGINS,2022,28.1,37,Gol,F,32.2,17.1,5.0,2.3,1.2,0.8,1.3,30.349999999999994,23.55,71.0,1122.9499999999998,1672.05
ANDREW WIGGINS,2023,29.099999999999998,71,Gol,F,27.0,13.2,4.5,1.7,0.6,0.6,1.2,23.55,31.140666666666668,60.0,1672.05,1868.44
ANFERNEE SIMONS,2020,21.94,64,Por,G,17.3,7.8,2.2,1.4,0.28,0.13,0.67,13.1,26.17,57.0,838.4,1491.69
ANFERNEE SIMONS,2021,22.839999999999996,57,Por,G,29.5,17.3,2.6,3.9,0.53,0.11000000000000001,2.02,26.17,32.47,62.0,1491.69,2013.1399999999999
ANFERNEE SIMONS,2022,23.8,62,Por,G,35.0,21.1,2.6,4.1,0.7,0.2,2.1,32.47,34.269999999999996,46.0,2013.1399999999999,1576.4199999999998
ANFERNEE SIMONS,2023,24.9,46,Por,G,34.4,22.6,3.6,5.5,0.5,0.1,2.7,34.269999999999996,30.739999999999995,70.0,1576.4199999999998,2151.7999999999997
ANTHONY BLACK,2023,20.2,69,Orl,G,16.9,4.6,2.0,1.3,0.5,0.3,0.8,10.549999999999999,20.95,78.0,727.9499999999999,1634.1
ANTHONY DAVIS,2020,28.18,36,Lal,F-C,32.3,21.8,7.900000000000001,3.1,1.25,1.64,2.06,42.54,48.12,40.0,1531.44,1924.8
ANTHONY DAVIS,2021,29.089999999999996,40,Lal,F-C,35.1,23.2,9.9,3.1,1.23,2.25,2.05,48.12,51.71999999999999,56.0,1924.8,2896.3199999999997
ANTHONY DAVIS,2022,30.1,56,Lal,F-C,34.0,25.9,12.6,2.6,1.1,2.0,2.2,51.71999999999999,53.47,76.0,2896.3199999999997,4063.72
ANTHONY DAVIS,2023,31.099999999999998,76,Lal,C,35.5,24.7,12.6,3.5,1.2,2.3,2.1,53.47,51.64000000000001,51.0,4063.72,2633.6400000000003
ANTHONY EDWARDS,2020,19.78,72,Min,G,32.1,19.3,4.7,2.9,1.14,0.49,2.24,31.939999999999998,36.41000000000001,72.0,2299.68,2621.520000000001
ANTHONY EDWARDS,2021,20.68,72,Min,G,34.3,21.3,4.8,3.7999999999999994,1.46,0.64,2.65,36.41000000000001,39.66000000000001,79.0,2621.520000000001,3133.140000000001
