NAME,POS,FP_total_pred,MC_mean,MC_std,MC_p10,MC_p50,MC_p90
JULIUS RANDLE,F-C,2007.199581126507,2007.5195849515208,311.2467790745912,1615.4130136515462,1999.961555151796,2415.4919343203933
SHAEDON SHARPE,G,2001.5564421885117,2001.7802477794983,449.9383598547742,1429.1370871512893,1998.396044574562,2581.1185773030384
KEYONTE GEORGE,G,1919.703644035863,1922.4051930373848,347.1735852516113,1477.1847296918563,1923.5500114400998,2366.732538288689
NAZ REID,C-F,1919.6050449284908,1918.0939337032569,288.3393334517981,1550.8430292597116,1916.9706349277153,2286.452043144576
STEPHON CASTLE,G,1909.9232017444713,1920.725387987358,780.1117118287809,929.4085627267233,1916.832362202243,2918.9435347351778
MARK WILLIAMS,C,1903.33579683324,1897.0019597731582,411.41711769046844,1373.9516491737397,1888.036292210972,2424.961295632427
RUDY GOBERT,C,1900.686051326281,1903.39213802341,271.6919077498379,1564.14112489061,1901.2824231378836,2252.9752762947273
JORDAN POOLE,G,1897.3943807273008,1891.0633933253698,355.1680432628857,1442.9251626565172,1883.1472683875295,2352.2441198392826
MYLES TURNER,C-F,1896.664180349641,1896.8628669004083,160.09785890482038,1691.465941136704,1894.400119383457,2103.845166757711
MALIK MONK,G,1893.102236197384,1888.9674731138923,342.1150823219172,1453.514858610878,1876.2841006480808,2334.319316926414
ALEXANDRE SARR,C,1889.3857916701725,1876.2020669526187,815.8407291627924,819.9953090839524,1864.5783562201423,2936.2400209100974
ISAIAH HARTENSTEIN,C-F,1834.730313921997,1831.915669887902,485.6880958810672,1214.2453346130037,1822.9011449049517,2456.61923625313
JAKOB POELTL,C,1832.3583846408185,1834.8415569694519,235.02741340988115,1538.979007655783,1828.8231759668956,2139.768185333761
JADEN MCDANIELS,F,1827.968909735198,1830.7337929706275,309.9090394786766,1440.0788820918199,1822.240530405728,2236.13540763534
JIMMY BUTLER,F,1819.9126470713088,1821.8225054724462,254.71768478180095,1499.8534782317017,1814.742889692851,2152.420047433866
KRISTAPS PORZINGIS,F-C,1810.112506774166,1810.8855199375746,186.03138852935834,1575.6832510496881,1805.4769355372778,2052.622940970005
KEEGAN MURRAY,F,1807.9657027795924,1809.439882824879,259.59262104692374,1485.356578588136,1807.0649424521757,2146.4514226836127
DEVIN VASSELL,G-F,1792.2457891214156,1799.6842001670286,523.4515201592479,1136.8642729819844,1792.769336892391,2478.9135637539885
CJ MCCOLLUM,G,1786.86229827467,1785.9071190887987,158.9204094722629,1582.294058985637,1782.7632729932438,1991.1381803564352
